,combination,p_value,m_test_result,m_test_value
41,"('0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', '0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5')",1.0,False,1.0
42,"('0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b')",1.0,False,1.0
43,"('0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', '0xc00e94cb662c3520282e6f5717214004a7f26888')",2.0016560631219704e-09,True,2.101738866278069e-07
44,"('0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', '0x92d6c1e31e14520e676a687f0a93788b716beff5')",1.0,False,1.0
45,"('0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', '0xba100000625a3754423978a60c9317c58a424e3d')",0.9999999914656246,False,1.0
46,"('0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2')",1.0,False,1.0
47,"('0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",7.911771238156007e-10,True,8.307359800063807e-08
48,"('0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",1.0,False,1.0
49,"('0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",0.997888646239672,False,1.0
50,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0x111111111117dc0aa78b770fa6a738034120c302')",1.0,False,1.0
51,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5')",1.0,False,1.0
52,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b')",4.544880027879117e-10,True,4.7721240292730727e-08
53,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0xc00e94cb662c3520282e6f5717214004a7f26888')",1.0,False,1.0
