,id,symbol,name,links.homepage,platforms.ethereum,genesis_date,market_cap,circulating_supply,total_supply,max_supply,last_updated,last_updated
27,barnbridge,bond,BarnBridge,"['https://barnbridge.com/', '', '']",0x0391d2021f89dc339f60fff84546ea23e337750f,,50416794.0,9778252.07214916,10000000.0,10000000.0,2022-10-09T04:48:50.779Z,2022-10-09T04:48:50.779Z
28,dopex,dpx,Dopex,"['https://www.dopex.io/', '', '']",0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81,,48817848.0,202276.015200886,500000.0,500000.0,2022-10-09T04:49:22.414Z,2022-10-09T04:49:22.414Z
30,ampleforth-governance-token,forth,Ampleforth Governance,"['https://www.ampleforth.org/', '', '']",0x77fba179c79de5b7653f68b5039af940ada60ce0,,40498660.0,8659066.630398465,15297897.1445593,15297897.1445593,2022-10-09T04:49:18.607Z,2022-10-09T04:49:18.607Z
31,yfii-finance,yfii,DFI.money,"['https://dfi.money/', '', '']",0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,,38193420.0,39732.11082502074,39999.9996996485,40000.0,2022-10-09T04:48:40.679Z,2022-10-09T04:48:40.679Z
32,covalent,cqt,Covalent,"['https://www.covalenthq.com/', 'https://www.covalenthq.com/blog/', '']",0xd417144312dbf50465b1c641d016962017ef6240,,34794636.0,418606913.53706425,1000000000.0,1000000000.0,2022-10-09T04:48:54.811Z,2022-10-09T04:48:54.811Z
33,rari-governance-token,rgt,Rari Governance,"['https://rari.capital/', '', '']",0xd291e7a03283640fdc51b121ac401383a46cc623,,30500828.0,11255496.233072856,12485047.9944349,12485047.9944349,2022-10-09T04:49:21.685Z,2022-10-09T04:49:21.685Z
34,kyber-network,kncl,Kyber Network Crystal Legacy,"['https://kyber.network/', '', '']",0xdd974d5c2e2928dea5f71b9825b8b646686bd200,2017-09-12,28703830.0,25549315.3611932,28947118.3611932,226000000.0,2022-10-09T04:48:13.314Z,2022-10-09T04:48:13.314Z
35,ichi-farm,ichi,ICHI,"['https://www.ichi.org/', '', '']",0x111111517e4929d3dcbdfa7cce55d30d4b6bc4d6,,27883515.0,5086916.94666333,10000000.0,10000000.0,2022-10-09T04:48:31.803Z,2022-10-09T04:48:31.803Z
36,harvest-finance,farm,Harvest Finance,"['https://harvest.finance/', '', '']",0xa0246c9032bc3a600820415ae600c6388619a14d,,25768010.0,666804.216713,701067.05,690420.0,2022-10-09T04:49:21.741Z,2022-10-09T04:49:21.741Z
37,rarible,rari,Rarible,"['https://app.rarible.com/rari', '', '']",0xfca59cd816ab1ead66534d82bc21e7515ce441cf,,25229939.0,11578869.797242802,25000000.0,25000000.0,2022-10-09T04:48:38.275Z,2022-10-09T04:48:38.275Z
38,adventure-gold,agld,Adventure Gold,"['https://www.lootproject.com/', '', '']",0x32353a6c91143bfd6c7d363b546e62a9a2489a20,,24553252.0,77260001.0,77260001.0,80000000.0,2022-10-09T04:48:35.980Z,2022-10-09T04:48:35.980Z
