token_a,token_b,link_name,n_snapshots,n_significant,pct_significant,median_observed,median_null_p95
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,18,18,1.0,0.28475719690322876,0.24243982136249542
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xba100000625a3754423978a60c9317c58a424e3d,YFI-BAL,18,18,1.0,0.23500150442123413,0.14283053576946259
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,18,18,1.0,0.21076294779777527,0.16872141510248184
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,18,15,0.8333333333333334,0.25296781957149506,0.20720816403627396
0xba100000625a3754423978a60c9317c58a424e3d,0xd533a949740bb3306d119cc777fa900ba034cd52,BAL-CRV,18,12,0.6666666666666666,0.23342394828796387,0.1625390499830246
0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0xd533a949740bb3306d119cc777fa900ba034cd52,CVX-CRV,13,9,0.6923076923076923,0.44421154260635376,0.42087218165397644
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xba100000625a3754423978a60c9317c58a424e3d,SUSHI-BAL,18,9,0.5,0.16110419481992722,0.17550622671842575
