snapshot_date,snapshot_block,token_a,token_b,link_name,metric,observed,p01,p05,p10,p25,p50,p75,p90,p95,p99,p_value,n_iter
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,avg_token_holding_share,0.24506813287734985,0.03351358696818352,0.04132556542754173,0.04674214497208595,0.058173373341560364,0.07724694162607193,0.11100492626428604,0.14639922976493835,0.16655583679676056,0.2174176126718521,0.004,10000
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,dir_share_token_a,0.286760151386261,0.04505171999335289,0.057427700608968735,0.06584769487380981,0.083214171230793,0.10835453867912292,0.1448562741279602,0.21217451989650726,0.24604587256908417,0.29294872283935547,0.0143,10000
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,dir_share_token_b,0.2033761441707611,0.007983021438121796,0.01065998524427414,0.0124514764174819,0.017439275979995728,0.028212185949087143,0.05939296633005142,0.14473272860050201,0.1997850388288498,0.26579779386520386,0.0431,10000
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,median_token_value_usd,616.6976928710938,466.0437316894531,476.1720886230469,482.55621337890625,493.0939025878906,504.172607421875,514.9598999023438,522.0756225585938,526.9161376953125,537.5191650390625,0.0,10000
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,YFI-MKR,avg_token_holding_share,0.2017487734556198,0.02858342044055462,0.03588642552495003,0.0408785380423069,0.05089464783668518,0.06600503623485565,0.0890129804611206,0.1270897537469864,0.14582982659339905,0.18203650414943695,0.0046,10000
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,YFI-MKR,dir_share_token_a,0.27062660455703735,0.030614322051405907,0.0407479852437973,0.04810131713747978,0.06233495473861694,0.0843738317489624,0.11430478096008301,0.17908455431461334,0.21410027146339417,0.26416656374931335,0.0076,10000
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,YFI-MKR,median_token_value_usd,603.8790283203125,204.99781799316406,210.4600830078125,214.14730834960938,220.4703369140625,227.35836791992188,233.79678344726562,239.572509765625,243.0901641845703,250.44821166992188,0.0,10000
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,avg_token_holding_share,0.29889076948165894,0.027246583253145218,0.034607212990522385,0.0393851175904274,0.049510929733514786,0.06477013230323792,0.09041814506053925,0.1312553733587265,0.17743726074695587,0.2297515720129013,0.0003,10000
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,dir_share_token_a,0.2930517792701721,0.03352424502372742,0.043461572378873825,0.05050119385123253,0.06541845202445984,0.08843056112527847,0.11903095990419388,0.17988941073417664,0.2175135314464569,0.2603195607662201,0.0023,10000
2021-12-15,13809597,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,dir_share_token_b,0.30472975969314575,0.008203704841434956,0.011454904451966286,0.013578019104897976,0.01890375092625618,0.030721530318260193,0.05434701591730118,0.11177106946706772,0.2875837981700897,0.33610624074935913,0.0283,10000
