token_a,token_b,link_name,n_snapshots,n_significant,pct_significant,median_observed,median_null_p95
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xba100000625a3754423978a60c9317c58a424e3d,YFI-BAL,18,12,0.6666666666666666,0.23252391815185547,0.15606093406677246
0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xba100000625a3754423978a60c9317c58a424e3d,LDO-BAL,18,12,0.6666666666666666,0.15501754730939865,0.040784940123558044
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xba100000625a3754423978a60c9317c58a424e3d,SUSHI-BAL,18,11,0.6111111111111112,0.23052694648504257,0.2114204317331314
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,18,11,0.6111111111111112,0.20703263580799103,0.2042674720287323
0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,CVX-SUSHI,13,9,0.6923076923076923,0.04298060014843941,0.029460826888680458
