snapshot_date,snapshot_block,token_a,token_b,link_name,metric,observed,p01,p05,p10,p25,p50,p75,p90,p95,p99,p_value,n_iter
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,link_size,7353.0,5618.0,5664.0,5691.0,5731.0,5778.0,5826.0,5868.0,5893.0,5939.0,0.0,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,avg_token_holding_share,0.28089770674705505,0.032418351620435715,0.04132995754480362,0.046870239078998566,0.059026602655649185,0.07861637324094772,0.10997284948825836,0.14442096650600433,0.16603663563728333,0.21002914011478424,0.0,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,dir_share_token_a,0.33509111404418945,0.043054450303316116,0.05637972429394722,0.0654788687825203,0.08386986702680588,0.11096423864364624,0.1496928632259369,0.2013922780752182,0.22963379323482513,0.27762481570243835,0.0013,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,dir_share_token_b,0.22670426964759827,0.008001105859875679,0.010502401739358902,0.012325509451329708,0.01760609820485115,0.029828596860170364,0.05890370532870293,0.14322251081466675,0.1952284574508667,0.24577003717422485,0.0175,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,median_token_value_usd,641.9967041015625,477.4690246582031,488.3967590332031,493.8026428222656,502.98431396484375,512.8587646484375,520.5144653320312,529.3375244140625,534.4940795898438,545.8439331054688,0.0,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,gini_token_holding_share,0.9877943055348276,0.9641755223274231,0.9711093306541443,0.9743867516517639,0.9791309833526611,0.9838983416557312,0.9882965683937073,0.990964949131012,0.9920374751091003,0.9935718178749084,0.2805,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__unknown_smart_contract,0.061010339723933445,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__fund,0.0932967826693551,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__custodian,0.0006286619999368658,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__individual,0.00019470506266492732,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__cex,0.5833133322442509,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__misc,0.022497347056474163,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__EOA,0.041777098795565716,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__lending-centralized,0.005420306408225339,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__yield,0.0007668108076944888,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__smart-contract-platform,0.05491350324811552,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__lending-decentralized,0.038904169310906116,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__bridge,0.09092608905437514,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__mev-bot,0.0014647157656636806,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__blockchain-scaling,0.0012082649694765072,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,YFI-AAVE,label_share__dex,0.0036778389827810047,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,link_size,4869.0,4415.0,4461.0,4483.0,4520.0,4563.0,4605.0,4644.0,4667.0,4709.0,0.0,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,avg_token_holding_share,0.12727048993110657,0.026764150708913803,0.03511382266879082,0.041058678179979324,0.051870349794626236,0.06777651607990265,0.09038916230201721,0.12147129327058792,0.13836948573589325,0.17598211765289307,0.0813,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,dir_share_token_a,0.17711973190307617,0.02976733073592186,0.03983356058597565,0.04685860872268677,0.06214924156665802,0.08492773771286011,0.1169658973813057,0.165883406996727,0.19749021530151367,0.24483194947242737,0.0793,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,dir_share_token_b,0.07742126286029816,0.0074272495694458485,0.01261879038065672,0.017025642096996307,0.026349732652306557,0.042393703013658524,0.06582918763160706,0.09699887782335281,0.16625148057937622,0.21666312217712402,0.1725,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,median_token_value_usd,39.51158142089844,271.29486083984375,276.54803466796875,279.9464111328125,284.39959716796875,290.1915588378906,296.134521484375,301.0073547363281,304.2452697753906,310.55255126953125,1.0,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,gini_token_holding_share,0.9917047188624577,0.9748842716217041,0.9799181222915649,0.9824276566505432,0.9855465888977051,0.9884297847747803,0.9908497333526611,0.9932548403739929,0.9939751029014587,0.9948186874389648,0.1865,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__unknown_smart_contract,0.04822461097943708,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__fund,0.09731944789548962,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__cex,0.8163737876032695,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__custodian,0.0005321282570560814,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__EOA,0.01776932825982497,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__smart-contract-platform,0.0026113413471597785,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__bridge,0.005641636560824767,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__individual,0.0005441120999818904,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__mev-bot,0.0013316774876366618,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__misc,0.0007317953572617797,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__dex,0.0001273239515821183,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__lending-centralized,0.0029302514174167175,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x111111111117dc0aa78b770fa6a738034120c302,YFI-1INCH,label_share__lending-decentralized,0.005862645538075382,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,link_size,6194.0,4816.990234375,4859.0,4883.0,4923.0,4967.0,5010.0,5049.0,5072.0,5116.0,0.0,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,avg_token_holding_share,0.30001527070999146,0.028323864564299583,0.035855937749147415,0.04076527804136276,0.051472462713718414,0.06801629066467285,0.09258235991001129,0.129518523812294,0.18244771659374237,0.23800145089626312,0.0006,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,dir_share_token_a,0.321361780166626,0.03343573585152626,0.044447582215070724,0.052306756377220154,0.06823337078094482,0.09358686953783035,0.1275988519191742,0.17950263619422913,0.2127370685338974,0.261859267950058,0.0007,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,dir_share_token_b,0.2786688208580017,0.008601680397987366,0.012485041283071041,0.014950948767364025,0.020370274782180786,0.030846016481518745,0.05691228434443474,0.09450673311948776,0.29827892780303955,0.3437126576900482,0.053,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,median_token_value_usd,57.67716979980469,197.5278778076172,203.7229461669922,206.9290771484375,212.09036254882812,217.98507690429688,223.0727081298828,228.0776824951172,231.51402282714844,237.66578674316406,1.0,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,gini_token_holding_share,0.9908987170411651,0.9700466394424438,0.9755740761756897,0.978091835975647,0.9822133779525757,0.9860391020774841,0.9893653988838196,0.9922187328338623,0.9947278499603271,0.9956851601600647,0.1648,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__unknown_smart_contract,0.056464646649847,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__fund,0.17529464613882392,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__cex,0.5773400294896073,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__custodian,0.0006975414364018962,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__misc,0.02121081770084695,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__EOA,0.027696814601424796,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__lending-centralized,0.010112205069189027,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__smart-contract-platform,0.011086690303324417,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__bridge,0.11285025274683957,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__mev-bot,0.0015704878721136553,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__individual,1.1233874312952132e-06,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__blockchain-scaling,0.001062919549553127,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__yield,0.0003840317367061339,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,YFI-SUSHI,label_share__dex,0.00422789794122191,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,link_size,4554.0,3361.989990234375,3397.0,3416.0,3449.0,3486.0,3524.0,3558.0,3579.0,3614.0,0.0,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,avg_token_holding_share,0.154647096991539,0.01393592357635498,0.01916610263288021,0.023162631317973137,0.03132742643356323,0.04550855606794357,0.07032129168510437,0.15115220844745636,0.19733402132987976,0.24173156917095184,0.0964,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,dir_share_token_a,0.24536749720573425,0.018434492871165276,0.026539964601397514,0.03208831325173378,0.04399491846561432,0.062967449426651,0.09172817319631577,0.13545498251914978,0.16865400969982147,0.2199438512325287,0.0035,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,dir_share_token_b,0.06392669677734375,0.0026090566534549,0.0035571041516959667,0.004298099782317877,0.006454832851886749,0.015257205814123154,0.03384388983249664,0.26367437839508057,0.3428354859352112,0.37059053778648376,0.1835,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,median_token_value_usd,898.02490234375,469.25567626953125,481.83392333984375,488.6280517578125,500.9233703613281,514.754150390625,529.4345703125,543.5689697265625,551.989501953125,568.9364013671875,0.0,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,gini_token_holding_share,0.9860155400773767,0.9575689435005188,0.9684679508209229,0.9731180667877197,0.9795676469802856,0.98546302318573,0.9900529384613037,0.9953911304473877,0.9963219165802002,0.9968439936637878,0.4716,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,label_share__unknown_smart_contract,0.07962330292482736,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,label_share__fund,0.05658078175090203,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,label_share__cex,0.636166368534227,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,label_share__custodian,0.0005150843414577562,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,label_share__EOA,0.0214958132877047,,,,,,,,,,,10000
2022-02-15,14210564,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xd533a949740bb3306d119cc777fa900ba034cd52,YFI-CRV,label_share__lending-centralized,0.008907783045053325,,,,,,,,,,,10000
