Category,Address,Name,Tag
CeFi,0x60d0cc2ae15859f69bf74dadb8ae3bd58434976b,ZB.com,1
CeFi,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini,3
CeFi,0x622de9bb9ff8907414785a633097db438f9a2d86,Bitcoin Suisse,Eth2 Depositor
CeFi,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,1
CeFi,0x63f41034871535cee49996cc47719891fe03dff9,Deribit,10
CeFi,0x65292eeadf1426cd2df1c4793a3d7519f253913b,COSS.io:,Old Token 1
CeFi,0x65fb180c8bfaa811e9b2e3d2fa60ef27c15f8732,Oobit,2
CeFi,0x66c57bf505a85a74609d2c83e94aabb26d691e1f,Kraken,12
CeFi,0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,BitMart,2
CeFi,0x6b378be3c9642ccf25b1a27facb8ace24ac34a12,Deribit,5
CeFi,0x6be61833fc4381990e82d7d4a9f4c9b3f67ea941,Hotbit,Token
CeFi,0x6d712f120bd65ad54a5f56670976788a044cb987,Coinsquare,10
CeFi,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini,2
CeFi,0x700f6912e5753e91ea3fae877a2374a2db1245d7,Yunbi,3
CeFi,0x7061d86a274b398a1fb7cdb74b3abbc7601e105f,Coinsquare,11
CeFi,0x708396f17127c42383e3b9014072679b2f60b82f,Binance,11
CeFi,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase,1
CeFi,0x72a53cdbbcc1b9efa39c834a540550e23463aacb,Crypto.com,3
CeFi,0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea,KuCoin,12
CeFi,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex,2
CeFi,0x7758e507850da48cd47df1fb5f875c23e3340c50,Crypto.com,4
CeFi,0x77696bb39917c91a0c3908d577d5e322095425ca,Coinbase,11
CeFi,0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io,2
CeFi,0x7b138cc83ecccd6331cd7651c75ee3eb2ec6682e,Bitpie:,Batch Sender
CeFi,0x7c1c73bf60feb40cbcf0f12324200238ee23bb54,CoinMetro:,MultiSig Cold Wallet
CeFi,0x7d3cb11f8c13730c24d01826d8f2005f0e1b348f,COSS.io:,Token
CeFi,0x7ee87dd5bb9924cb85ca2916bd4e04299d3a8ecc,Coinsquare,12
CeFi,0x7f2118fd5016df11fa82b7d93a8badb4e3251ec7,Coinsquare,13
CeFi,0x808b4da0be6c9512e948521452227efc619bea52,BlockFi,5
CeFi,0x81b5ce15aa64e1dcefc18f810de7d18115230586,Celsius Network,Network:CEL	Treasury
CeFi,0x823c8e533657b0004b5ab8553d84502ba2e571f7,MaskEX,10
CeFi,0x82be7cfef05b70c4af47f8fd70f636201121341b,Coinsquare,14
CeFi,0x833f3b6faa717079fb3a1030f6207c57b1c591bd,MaskEX,11
CeFi,0x8533a0bd9310eb63e7cc8e1116c18a3d67b1976a,Hotbit,2
CeFi,0x8550e644d74536f1df38b17d5f69aa1bfe28ae86,Korbit,3
CeFi,0x85b931a32a0725be14285b66f1a22178c672d69b,Binance,10
CeFi,0x8623c08a4b880799cf65e75137ec9759db336637,Coinsquare,15
CeFi,0x882a812d75aee53efb8a144f984b258b6c4807f0,Alameda Research,2
CeFi,0x88bd4d3e2997371bceefe8d9386c6b5b4de60346,KuCoin,14
CeFi,0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb,1
CeFi,0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood,1
CeFi,0x896c3307f0b10fb956f5d22185863c2917bf58c1,BitMax:,Deployer
CeFi,0x8979d1e0ecab3cf5ae8a5a7b2d792aa119f34be1,Bitpie:,3
CeFi,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,CoinList,2
CeFi,0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,Gemini,6
CeFi,0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance,13
CeFi,0x904cc2b2694ffa78f04708d6f7de205108213126,Deribit,1
CeFi,0x926fc576b7facf6ae2d08ee2d4734c134a743988,Huobi,15
CeFi,0x964771f6df31eea2d927fa71d7bd78e81bcdce05,Bitstamp:,Contract
CeFi,0x964d9d1a532b5a5daeacbac71d46320de313ae9c,Alameda Research,5
CeFi,0x980a4732c8855ffc8112e6746bd62095b4c2228f,Hoo.com,1
CeFi,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,AscendEX,3
CeFi,0x986ee2b944c42d017f52af21c4c69b84dbea35d8,BitMart:,BMCToken
CeFi,0x993b7fcba51d8f75c2dfaec0d17b6649ee0c9068,Hoo.com,3
CeFi,0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp,3
CeFi,0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC,1
CeFi,0x9e96604445ec19ffed9a5e8dd7b50a29c899a10c,COSS.io:,Old Token 2
CeFi,0x9f1bb5349d481065561a84cbd7f84982fd533359,MaskEX,12
CeFi,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,Cronos,Coin:
CeFi,0xa0f6121319a34f24653fb82addc8dd268af5b9e1,Deribit,2
CeFi,0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb,4
CeFi,0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC,3
CeFi,0xa26a8e242a7470476df1dc11ded5dbc9fca610fa,BlockFi,2
CeFi,0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro,Exchange
CeFi,0xa310b3eeca53b9c115af529faf92bb5ca4b41494,MaskEX,13
CeFi,0xa4e71851a8c8eaefeb20a994159f4a443e46059b,MaskEX,14
CeFi,0xa7e15ef7c01b58ebe5ef74aa73625ae4b11fe754,Deribit,4
CeFi,0xa83b11093c858c86321fbc4c20fe82cdbd58e09e,Kraken,14
CeFi,0xa8ee70f68fffaae3cb8475112409adb9282f3246,Oobit,3
CeFi,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase,10
CeFi,0xaa9e89b59b5148775b2f1187338aba0efafd5645,Resfinex:,Investor & Partnership
CeFi,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,Celsius Network,CEL	Token
CeFi,0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi,1
CeFi,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,Kraken,10
CeFi,0xb2d9fecc991a81eb237028262517f61dd8177b4f,Celsius Network,CEL	Team
CeFi,0xb2f7eb1f2c37645be61d73953035360e768d81e6,Cobinhood:,COB Token
CeFi,0xb302bfe9c246c6e150af70b1caaa5e3df60dac05,Gemini,5
CeFi,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase,5
CeFi,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,Crypto.com:,MCO Token
CeFi,0xb685d0daea607fe75e02c1a7679261eac661b9bc,Bitpie:,5
CeFi,0xb6aac3b56ff818496b747ea57fcbe42a9aae6218,QuadrigaCX,2
CeFi,0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Cobinhood,2
CeFi,0xb78e90e2ec737a2c0a24d68a0e54b410fff3bd6b,Alameda Research,4
CeFi,0xb8cf411b956b3f9013c1d0ac8c909b086218207c,Remitano,1
CeFi,0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,KuCoin,15
CeFi,0xbac7c449689a2d3c51c386d8e657338c41ab3030,CoinMetro:,Treasury
CeFi,0xbd0793332e9fb844a52a205a233ef27a5b34b927,ZB.com,Token
CeFi,0xbe921ea3bd0c879a8688b7fabe6b3c8a471df90d,MaskEX,15
CeFi,0xbefe4f86f189c1c817446b71eb6ac90e3cb68e60,Alameda Research,3
CeFi,0xbf2ebf6c701068ccf046644315ff7417c879bd8a,Oobit,4
CeFi,0xc2288b408dc872a1546f13e6ebfa9c94998316a2,Bitcoin Suisse,Eth2 Depositor
CeFi,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex,11
CeFi,0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Bitstamp,6
CeFi,0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,5
CeFi,0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,KuCoin,10
CeFi,0xcca0c9c383076649604ee31b20248bc04fdf61ca,BitMax:,BTMX
CeFi,0xce606c7028a0702de6ef30c69c9dca4e3d46ffbd,Celsius Network,CEL	Treasury
CeFi,0xcffad3200574698b78f32232aa9d63eabd290703,Crypto.com,5
CeFi,0xd03be958e6b8da2d28ac8231a2291d6e4f0a7ea7,Korbit,4
CeFi,0xd0ec209ad2134899148bec8aef905a6e9997456a,Hoo.com,2
CeFi,0xd1560b3984b7481cd9a8f40435a53c860187174d,COSS.io:,Old Hot Wallet
CeFi,0xd1669ac6044269b59fa12c5822439f609ca54f41,CoinList,1
CeFi,0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,1
CeFi,0xd273bd546b11bd60214a2f9d71f22a088aafe31b,Bithumb,11
CeFi,0xd2c82f2e5fa236e114a81173e375a73664610998,CoinList,3
CeFi,0xd4bddf5e3d0435d7a6214a0b949c7bb58621f37c,Coinhako,
CeFi,0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini,7
CeFi,0xd6e0f7da4480b3ad7a2c8b31bc5a19325355ca15,Korbit,5
CeFi,0xd793281182a0e3e023116004778f45c29fc14f19,Gate.io:,Contract
CeFi,0xd89350284c7732163765b23338f2ff27449e0bf5,KuCoin,13
CeFi,0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,Yunbi,1
CeFi,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken,13
CeFi,0xdd06b66c76d9c6fdc41935a7b32566c646325005,CoinMetro:,XCM	Utility	Vault
CeFi,0xdd9663bd979f1ab1bada85e1bc7d7f13cafe71f8,Bitcoin Suisse,Eth2 Depositor
CeFi,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase,3
CeFi,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance,12
CeFi,0xe5d7ccc5fc3b3216c4dff3a59442f1d83038468c,Korbit,6
CeFi,0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,0.199979
CeFi,0xe83a48cae4d7120e8ba1c2e0409568ffba532e87,Korbit,7
CeFi,0xe92d1a43df510f82c66382592a047d288f85226f,Bitfinex,19
CeFi,0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi,10
CeFi,0xec1fdcd732064b02c6a4424e184536dc26a4c948,Resfinex:,Reserve
CeFi,0xec293b9c56f06c8f71392269313d7e2da681d9ac,Hoo.com,4
CeFi,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin,11
CeFi,0xec70e3c8afe212039c3f6a2df1c798003bf7cfe9,Bitcoin Suisse,Eth2 Depositor
CeFi,0xeea81c4416d71cef071224611359f6f99a4c4294,BitMEX,1
CeFi,0xefc534c47d753f94944b734d2c546cb1fba8904e,Resfinex:,Founding Team 
CeFi,0xf29226914595052a04f5afbe6410d0c3ed707548,Coinbit:,NEXT	Token
CeFi,0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,Coinhako:,Hot Wallet
CeFi,0xf3e35734b7413f87c2054a16ce04230d803e4dc3,CoinMetro:,Vault	Aug	2020
CeFi,0xf45f0e16b5e096286e1fb463d34be9f3df5e3602,BitMax:,Old
CeFi,0xf64edd94558ca8b3a0e3b362e20bb13ff52ea513,Bitpie:,1
CeFi,0xf6be265fa72148dfb64106247d21bb15ce650e5e,Oobit,1
CeFi,0xfa453aec042a837e4aebbadab9d4e25b15fad69d,Alameda Research,6
CeFi,0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi,11
CeFi,0xfad672dc92c2d2db0aa093331bd1098e30249ab8,CoinMetro:,Vault	Feb	2020
CeFi,0xfb8131c260749c7835a08ccbdb64728de432858e,BitMEX,2
CeFi,0xfff3ada5a2555a2b59bff4f44dfad90146cce8cb,Coinbit:,DEXTER	Token
CeFi,0xee62cbab44113b3d72cdc94980953c0b1a4f4d47,Binance,AE Token Swap
CeFi,0x1aac8bc17da523b9bc7470b0c9ed47a83760acef,BitMart,Deployer
CeFi,0x19d97aa29cd33bd966d52e2bc9dfc719f2bb9ae1,Coinhako,Deployer
CeFi,0xa193c943980a9340f306b3d59deb183dc501b35f,Coinhako,Old Address
CeFi,0x1d1bd550197c7c0787b9ad0aea9c1cca66ee0e90,Coinhako,Old Address 2
CeFi,0x013ff63e21e8556c1a04aff005ec0912aa955d6a,Crypto.com,CDCNFT 2
CeFi,0x767be428d8bf8fa99bc0b84d96d6f135845a11ff,Crypto.com,CDCNFT Token
CeFi,0xc42f0e95ff6c861164a86415eb6b3dabe7e13843,Crypto.com,Deployer
CeFi,0x494adb1ecac39d9df00fcda84ed2c1dc775107e7,Crypto.com,Deployer 2
CeFi,0x32047ac688997feb8fbf1d5d4aee39ec0202086d,Crypto.com,Deployer 3
CeFi,0xdc4c0fda463435d19962e8dd465d5eba86fd02ec,Crypto.com,MCO Wallet
CeFi,0x51ca21ed46a9df3cb6f34624cbd482d312996730,Crypto.com,MultiSig
CeFi,0x71507ee19cbc0c87ff2b5e05d161efe2aac4ee07,Crypto.com,MultiSig 2
CeFi,0x22e4f709fd5e7fe246fbf7e714ae89bdab7e2a5d,Crypto.com,MultiSig 3
CeFi,0xdda508f9f3c1b4ca39c8794df3a080298ebe9c55,Crypto.com,MultiSig 4
CeFi,0x35f517cab9a37bc31091c2f155d965af84e0bc85,Crypto.com,MultiSig 5
CeFi,0x67703f7d089f3ac7c8c13a18b2381cbd7ee3eded,Crypto.com,MultiSig 6
CeFi,0x20a0bee429d6907e556205ef9d48ab6fe6a55531,Crypto.com,MultiSig 7
CeFi,0xc67810de5816917f1dbc618c084b82441921f55f,Genesis,LUKSO: LYXe Genesis Funds
