,address,label,entity_name,entity_type,source,predicted_label
62,0x326D9f47BA49BBAac279172634827483af70a601,IEMOA,Bitkub,cex,arkham,False
63,0x38B78904a6B44F63eB81D98937fc6614870cFbB9,,ZB.com,cex,arkham,False
64,0x772396dD44Ce3d347838bFEC437CB32F534963F2,IEMOA,Bitstamp,cex,arkham,False
65,0x8CF23cd535a240eb0aB8667D24EEDBD9ecCd5cba,,eToro,cex,arkham,True
66,0xb1bdaeBE11F255a1797Ee191fccB2F69F1923Dd0,,Korbit,cex,arkham,False
67,0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,,Binance,cex,arkham,False
68,0xc9f5296Eb3ac266c94568D790b6e91ebA7D76a11,,CEX.IO,cex,arkham,False
69,0xD7efCbB86eFdD9E8dE014dafA5944AaE36E817e4,,Okcoin,cex,arkham,False
70,0xF2d4766Ad705e3A5C9ba5b0436b473085F82f82f,IEMOA,Coinhako,cex,arkham,False
71,0x8D6F396D210d385033b348bCae9e4f9Ea4e045bD,IEMOA,Gemini,cex,arkham,False
72,0x9AA65464b4cFbe3Dc2BDB3dF412AeE2B3De86687,,Blockchain.com,cex,arkham,False
73,0x11B0389A7B1545Ef15c8E7395128301e81952BC3,,Crypto Finance Group,cex,arkham,True
74,0x1bdaC750132EB91E569f6fD2582d2D67F6f1ea0c,EMOA,Zipmex,cex,arkham,False
75,0x593aebEE9117EEA447279E5973F64C68D8e977a0,,Bitstamp,cex,arkham,False
76,0x6ef135a477d7c614BDfD8670614c36215Ab3C692,,OKX,cex,arkham,True
77,0x91Dca37856240E5e1906222ec79278b16420Dc92,,Indodax,cex,arkham,False
78,0x941b4FdB4b1533Ab2Cc8b90fF0700F658B4Aa642,,Wealthsimple,cex,arkham,True
79,0x9acbB72Cf67103A30333A32CD203459c6a9c3311,,Paribu,cex,arkham,False
80,0xb15Bfc3c04a726dC6dF1Bd8d658E1A1e43A9Af33,IEMOA,Bitkub,cex,arkham,False
81,0xbb0424ed909293701e95cCa03CBF1274918D7C09,,eToro,cex,arkham,True
82,0xc1bF8F2AcC5D5824974CE4C90A8438421150f753,IEMOA,Gemini,cex,arkham,True
83,0xee5B5B923fFcE93A870B3104b7CA09c3db80047A,,Bybit,cex,arkham,False
