Category,Address,Name,Tag,Source
Project,​0xE1BA0FB44CCb0D11b80F92f4f8Ed94CA3fF51D00​,Aave,aBATv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x712DB54daA836B53Ef1EcBb9c6ba3b9Efb073F40​,Aave,aENJv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x9D91BE44C06d373a8a226E1f3b146956083803eB​,Aave,aKNCv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0xba3D9687Cf50fE253cd2e1cFeEdE1d6787344Ed5​,Aave,aAAVEv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0xA64BD6C70Cb9051F6A9ba1F163Fdc07E0DfB5F84​,Aave,aLINKv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x6FCE4A401B6B80ACe52baAefE4421Bd188e76F6f​,Aave,aMANAv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x7deB5e830be29F91E298ba5FF1356BB7f8146998​,Aave,aMKRv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x69948cC03f478B95283F7dbf1CE764d0fc7EC54C​,Aave,aRENv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x71010A9D003445aC60C4e6A7017c1E89A477B438​,Aave,aREPv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x328C4c80BC7aCa0834Db37e6600A6c49E12Da4DE​,Aave,aSNXv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0xB124541127A0A657f056D9Dd06188c4F1b0e5aab​,Aave,aUNIv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0xFC4B8ED459e00e5400be803A9BB3954234FD50e3​,Aave,aWBTCv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x12e51E77DAAA58aA0E9247db7510Ea4B46F9bEAd​,Aave,aYFIv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x6Fb0855c404E09c47C3fBCA25f08d4E41f9F062f​,Aave,aZRXv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x7D2D3688Df45Ce7C552E19c27e007673da9204B8,Aave,aLENDv1,https://docs.aave.com/developers/deployed-contracts/deployed-contracts
Project,​0x7fd53085B9A29D236235D6FC593b47C9C33429F1​,Aave,LendingPoolAddressProviderv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0x2F60C3EB259D63dcCa81fDE7Eaa216D9983D7C60​,Aave,LendingPoolv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0x1012cfF81A1582ddD0616517eFB97D02c5c17E25​,Aave,LendingPoolCorev1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0x1D0e53A0e524E3CC92C1f0f33Ae268FfF8D7E7a5​,Aave,aUNI_USDC_ETHv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0x9548DB8b1cA9b6c757485e7861918b640390169c​,Aave,aUNI_LINK_ETHv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0xBbBb7F2aC04484F7F04A2C2C16f20479791BbB44​,Aave,aUNI_DAI_ETHv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0xc88ebbf7c523f38ef3eb8a151273c0f0da421e63​,Aave,aUNI_LEND_ETHv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0x8c69f7A4C9B38F1b48005D216c398Efb2F1Ce3e4​,Aave,aUNI_MKR_ETHv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0x84BBcaB430717ff832c3904fa6515f97fc63C76F​,Aave,aUNI_SETH_ETHv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0x048930eec73c91B44b0844aEACdEBADC2F2b6efb​,Aave,aUniDAIv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0xe02b2Ad63eFF3Ac1D5827cBd7AB9DD3DaC4f4AD0​,Aave,aUniUSDCv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0xb977ee318010A5252774171494a1bCB98E7fab65​,Aave,aUniUSDTv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,​0x6179078872605396Ee62960917128F9477a5DdbB,Aave,aUniETHv1,https://docs.aave.com/developers/v/1.0/deployed-contracts/uniswap-market
Project,0xf9Fb4AD91812b704Ba883B11d2B576E890a6730A,Aave,aAmmWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x79bE75FFC64DD58e66787E4Eae470c8a1FD08ba4,Aave,aAmmDAI,https://aave.github.io/aave-addresses/mainnet.json
Project,0xd24946147829DEaA935bE2aD85A3291dbf109c80,Aave,aAmmUSDC,https://aave.github.io/aave-addresses/mainnet.json
